,artist,date,ranking,title
193,Eve,2000-01-08,94,Love Is Blind
196,Ginuwine,2000-01-08,97,The Best Man I Can Be
199,Joe Diffie,2000-01-08,100,The Quittin  Kind
269,Sugar Ray,2000-01-15,70,Falls Apart
288,Mark Wills,2000-01-15,89,Back At One
292,N Sync,2000-01-15,93,Music Of My Heart
294,Jay-Z,2000-01-15,95,Do It Again (Put Ya Hands Up)
297,DMX,2000-01-15,98,What s My Name
364,Third Eye Blind,2000-01-22,65,Never Let You Go
366,Sonique,2000-01-22,67,It Feels So Good
369,Vertical Horizon,2000-01-22,70,Everything You Want
370,Q-Tip,2000-01-22,71,Breathe And Stop
374,Dr. Dre,2000-01-22,75,Forgot About Dre
376,D Angelo,2000-01-22,77,Untitled (How Does It Feel)
379,Gary Allan,2000-01-22,80,Smoke Rings In The Dark
441,N Sync,2000-01-29,42,Bye Bye Bye
472,George Strait,2000-01-29,73,The Best Day
473,Sisqo,2000-01-29,74,Thong Song
474,Lou Bega,2000-01-29,75,"Tricky, Tricky"
475,Britney Spears,2000-01-29,76,From The Bottom Of My Broken Heart
476,Toby Keith,2000-01-29,77,How Do You Like Me Now?!
479,Tracy Lawrence,2000-01-29,80,Lessons Learned
480,Tracy Byrd,2000-01-29,81,Put Your Hand In Mine
482,Jo Dee Messina,2000-01-29,83,Because You Love Me
483,Aaliyah,2000-01-29,84,I Don t Wanna
484,Sammie,2000-01-29,85,I Like It
578,Martina McBride,2000-02-05,79,Love s The Only House
581,SheDaisy,2000-02-05,82,This Woman Needs
584,Juvenile,2000-02-05,85,U Understand
592,Mandy Moore,2000-02-05,93,Candy
598,Dr. Dre,2000-02-05,99,Still D.R.E.
614,Santana,2000-02-12,15,Maria Maria
662,TLC,2000-02-12,63,Dear Lie
664,Puff Daddy,2000-02-12,65,Best Friend
679,Red Hot Chili Peppers,2000-02-12,80,Otherside
685,Metallica,2000-02-12,86,No Leaf Clover
698,Will Smith,2000-02-12,99,Freakin  It
699,Drama,2000-02-12,100,"Left, Right, Left"
742,Madonna,2000-02-19,43,American Pie
762,Kid Rock,2000-02-19,63,Only God Knows Why
767,Macy Gray,2000-02-19,68,I Try
768,Hoku,2000-02-19,69,Another Dumb Blonde
776,Hot Boys,2000-02-19,77,I Need A Hot Girl
778,Jennifer Lopez,2000-02-19,79,Feelin  So Good
782,Whitney Houston,2000-02-19,83,I Learned From The Best
785,Garth Brooks,2000-02-19,86,Do What You Gotta Do
786,Clint Black With Steve Wariner,2000-02-19,87,Been There
871,Jay-Z,2000-02-26,72,Anything
876,Marc Anthony,2000-02-26,77,You Sang To Me
886,2Pac + Outlawz,2000-02-26,87,Baby Don t Cry (Keep Ya Head Up II)
887,DMX,2000-02-26,88,Party Up (Up In Here)
892,Da Brat,2000-02-26,93,That s What I m Looking For
894,Brian McKnight,2000-02-26,95,Stay Or Let It Go
924,Pink,2000-03-04,25,There You Go
974,Phil Vassar,2000-03-04,75,Carlene
977,Black Rob,2000-03-04,78,Whoa!
980,Kumbia Kings,2000-03-04,81,U Don t Love Me
985,Chely Wright,2000-03-04,86,It Was
986,Montgomery Gentry,2000-03-04,87,Daddy Won t Sell The Farm
994,Tracie Spencer,2000-03-04,95,Still In My Heart
999,Amel Larrieux,2000-03-04,100,Get Up
1075,Ricky Martin,2000-03-11,76,Private Emotion
1078,Kenny Rogers With Alison Krauss,2000-03-11,79,Buy Me A Rose
1079,Faith Hill,2000-03-11,80,The Way You Love Me
1080,Andy Griggs,2000-03-11,81,She s More
1139,Dixie Chicks,2000-03-18,40,Goodbye Earl
1158,Aaliyah,2000-03-18,59,Try Again
1162,Toni Braxton,2000-03-18,63,He Wasn t Man Enough
1169,Bloodhound Gang,2000-03-18,70,The Bad Touch
1183,Gerald Levert,2000-03-18,84,Mr. Too Damn Good
1185,The Lox,2000-03-18,86,"Ryde Or Die, Chick"
1190,Collin Raye,2000-03-18,91,Couldn t Last A Moment
1194,Ying Yang Twins,2000-03-18,95,Whistle While You Twurk
1199,Ty Herndon,2000-03-18,100,No Mercy
1273,NAS,2000-03-25,74,You Owe Me
1274,Carl Thomas,2000-03-25,75,I Wish
1277,Lenny Kravitz,2000-03-25,78,I Belong To You
1283,Dave Hollister,2000-03-25,84,Can t Stay
1289,Mary Mary,2000-03-25,90,Shackles (Praise You)
1296,Clay Davidson,2000-03-25,97,Unconditional
1297,Tamar,2000-03-25,98,If You Don t Wanna Love Me
1362,Enrique Iglesias,2000-04-01,63,Be With You
1372,Jessica Simpson,2000-04-01,73,Where You Are
1378,Kenny Chesney,2000-04-01,79,What I Need To Do
1384,Trisha Yearwood,2000-04-01,85,Real Live Woman
1386,M2M,2000-04-01,87,Mirror Mirror
1391,Anastacia,2000-04-01,92,I m Outta Love
1395,Westlife,2000-04-01,96,Swear It Again
1474,Savage Garden,2000-04-08,75,Crash And Burn
1478,Alice Deejay,2000-04-08,79,Better Off Alone
1479,Son By Four,2000-04-08,80,Purest Of Pain (A Puro Dolor)
1480,3 Doors Down,2000-04-08,81,Kryptonite
1489,Chad Brock,2000-04-08,90,Yes!
1549,Christina Aguilera,2000-04-15,50,I Turn To You
1556,504 Boyz,2000-04-15,57,Wobble Wobble
1562,LFO,2000-04-15,63,I Don t Wanna Kiss You Goodnight
1572,Clay Walker,2000-04-15,73,The Chain Of Love
1580,Vitamin C,2000-04-15,81,Graduation (Friends Forever)
1584,Mya,2000-04-15,85,Best Of Me
1596,Mary J. Blige,2000-04-15,97,Give Me You
1621,Hanson,2000-04-22,22,This Time Around
1655,Elton John,2000-04-22,56,Someday Out Of The Blue
1666,Britney Spears,2000-04-22,67,Oops!...I Did It Again
1668,Jay-Z,2000-04-22,69,Big Pimpin
1673,Goo Goo Dolls,2000-04-22,74,Broadway
1680,Donell Jones,2000-04-22,81,Where I Wanna Be
1695,Big Punisher,2000-04-22,96,It s So Hard
1759,matchbox twenty,2000-04-29,60,Bent
1761,Avant,2000-04-29,62,Separated
1783,Trace Adkins,2000-04-29,84,More
1785,Yankee Grey,2000-04-29,86,Another Nine Minutes
1794,Eric Heatherly,2000-04-29,95,Flowers On The Wall
1798,BBMak,2000-04-29,99,Back Here
1799,Nelly,2000-04-29,100,(Hot S**t) Country Grammar
1869,Eminem,2000-05-06,70,The Real Slim Shady
1876,Jagged Edge,2000-05-06,77,Let s Get Married
1881,N Sync,2000-05-06,82,It s Gonna Be Me
1884,Nine Days,2000-05-06,85,Absolutely (Story Of A Girl)
1886,Rascal Flatts,2000-05-06,87,Prayin  For Daylight
1948,Pearl Jam,2000-05-13,49,Nothing As It Seems
1973,Destiny s Child,2000-05-13,74,"Jumpin , Jumpin"
1975,Tim McGraw,2000-05-13,76,Some Things Never Change
1982,Lee Ann Womack With Sons Of The Desert,2000-05-13,83,I Hope You Dance
1983,Creed,2000-05-13,84,With Arms Wide Open
1985,Metallica,2000-05-13,86,I Disappear
1986,Brad Paisley,2000-05-13,87,Me Neither
1988,Reba McEntire,2000-05-13,89,I ll Be
1991,Kelly Price,2000-05-13,92,Love Sets You Free
1997,Sting,2000-05-13,98,Desert Rose
2079,Lucy Pearl,2000-05-20,80,Dance Tonight
2094,Before Dark,2000-05-20,95,Monica
2098,Trick Daddy,2000-05-20,99,Shut Up
2157,Backstreet Boys,2000-05-27,58,The One
2176,LeAnn Rimes,2000-05-27,77,I Need You
2177,Dr. Dre,2000-05-27,78,The Next Episode
2184,Next,2000-05-27,85,Wifey
2270,Da Brat,2000-06-03,71,What Chu Like
2296,Nu Flavor,2000-06-03,97,3 Little Words
2370,Splender,2000-06-10,71,I Think God Can Explain
2374,Ideal,2000-06-10,75,Whatever
2376,Gloria Estefan,2000-06-10,77,No Me Dejes De Querer
2377,Lonestar,2000-06-10,78,What About Now
2390,Lara Fabian,2000-06-10,91,I Will Love Again
2394,Brooks,2000-06-10,95,You ll Always Be Loved By Me
2397,Darryl Worley,2000-06-10,98,When You Need My Love
2458,Janet,2000-06-17,59,Doesn t Really Matter
2468,Mandy Moore,2000-06-17,69,I Wanna Be With You
2470,Whitney Houston,2000-06-17,71,"Same Script, Different Cast"
2473,Whitney Houston,2000-06-17,74,Could I Have This Kiss Forever
2485,Billy Gilman,2000-06-17,86,One Voice
2491,En Vogue,2000-06-17,92,Riddle
2527,Mariah Carey,2000-06-24,28,Crybaby
2575,Alan Jackson,2000-06-24,76,It Must Be Love
2576,Sisqo,2000-06-24,77,Incomplete
2577,Jo Dee Messina,2000-06-24,78,That s The Way
2578,Don Henley,2000-06-24,79,Taking You Home
2579,Dixie Chicks,2000-06-24,80,Cold Day In July
2593,Torrey Carter,2000-06-24,94,Take That
2606,'N Sync,2000-07-01,7,It's Gonna Be Me
2614,Toni Braxton,2000-07-01,15,He Wasn't Man Enough
2620,Jay-Z,2000-07-01,21,Big Pimpin'
2627,Jagged Edge,2000-07-01,28,Let's Get Married
2636,Destiny's Child,2000-07-01,37,"Jumpin', Jumpin'"
2637,Lee Ann Womack,2000-07-01,38,I Hope You Dance
2639,'N Sync,2000-07-01,40,Bye Bye Bye
2642,Janet,2000-07-01,43,Doesn't Really Matter
2644,Collin Raye,2000-07-01,45,Couldn't Last A Moment
2649,No Doubt,2000-07-01,50,Simple Kind Of Life
2650,Da Brat,2000-07-01,51,What'Chu Like
2655,Rascal Flatts,2000-07-01,56,Prayin' For Daylight
2656,Reba McEntire,2000-07-01,57,I'll Be
2662,Jessica Simpson,2000-07-01,63,I Think I'm In Love With You
2666,Jo Dee Messina,2000-07-01,67,That's The Way
2668,Andy Griggs,2000-07-01,69,She's More
2675,Ruff Endz,2000-07-01,76,No More
2684,Brooks,2000-07-01,85,You'll Always Be Loved By Me
2689,Big Punisher,2000-07-01,90,It's So Hard
2697,DMX,2000-07-01,98,What You Want
2698,Snoop Dogg Presents Tha Eastsidaz,2000-07-01,99,Got Beef
2776,Everclear,2000-07-08,77,Wonderful
2778,Stone Temple Pilots,2000-07-08,79,Sour Girl
2793,SoulDecision,2000-07-08,94,Faded
2796,A*Teens,2000-07-08,97,Dancing Queen
2797,Madison Avenue,2000-07-08,98,Don't Call Me Baby
2843,Jessica Simpson,2000-07-15,44,I Think I m In Love With You
2874,Sister Hazel,2000-07-15,75,Change Your Mind
2877,SheDaisy,2000-07-15,78,I Will...But
2879,Lil  Kim,2000-07-15,80,No Matter What They Say
2880,Keith Urban,2000-07-15,81,Your Everything
2881,Kelly Price,2000-07-15,82,As We Lay
2888,Eve,2000-07-15,89,Got It All
2998,Baha Men,2000-07-22,99,Who Let The Dogs Out
3071,Red Hot Chili Peppers,2000-07-29,72,Californication
3074,Papa Roach,2000-07-29,75,Last Resort
3075,Toni Braxton,2000-07-29,76,Just Be A Man About It
3082,Lil  Zane,2000-07-29,83,Callin  Me
3090,Debelah Morgan,2000-07-29,91,Dance With Me
3156,Christina Aguilera,2000-08-05,57,Come On Over Baby (All I Want Is You)
3165,Kandi,2000-08-05,66,Don t Think I m Not
3174,Common,2000-08-05,75,The Light
3176,Joe,2000-08-05,77,Treat Her Like A Lady
3181,Toby Keith,2000-08-05,82,Country Comes To Town
3195,LFO,2000-08-05,96,West Side Story
3197,Ghostface Killah,2000-08-05,98,Cherchez LaGhost
3240,Madonna,2000-08-12,41,Music
3260,Britney Spears,2000-08-12,61,Lucky
3263,Bon Jovi,2000-08-12,64,It s My Life
3280,Joe Diffie,2000-08-12,81,It s Always Somethin
3282,Faith Hill With Tim McGraw,2000-08-12,83,Let s Make Love
3284,Pink,2000-08-12,85,Most Girls
3296,Mystikal,2000-08-12,97,Shake Ya Ass
3297,Jay-Z,2000-08-12,98,Hey Papi
3298,LL Cool J,2000-08-12,99,Imagine That
3299,Lil  Mo,2000-08-12,100,Ta Da
3347,Lil Bow Wow,2000-08-19,48,Bounce With Me
3350,98 Degrees,2000-08-19,51,Give Me Just One Night (Una Noche)
