,year,band_singer,ranking,song,songurl,url
2358,1999,Whitney Houston,99.0,When You Believe,/wiki/When_You_Believe,/wiki/Whitney_Houston
2374,1999,Mariah Carey,99.0,When You Believe,/wiki/When_You_Believe,/wiki/Mariah_Carey
2389,1999,Alabama,100.0,(God Must Have Spent) A Little More Time on You,/wiki/(God_Must_Have_Spent)_A_Little_More_Time_on_You#Alabama_version,/wiki/Alabama_(band)
2404,1999,'N Sync,100.0,(God Must Have Spent) A Little More Time on You,/wiki/(God_Must_Have_Spent)_A_Little_More_Time_on_You#Alabama_version,/wiki/%27N_Sync
5,2000,Faith Hill,1.0,Breathe,/wiki/Breathe_(Faith_Hill_song),/wiki/Faith_Hill
25,2000,Santana,2.0,Smooth,/wiki/Smooth_(song),/wiki/Santana_(band)
45,2000,Rob Thomas,2.0,Smooth,/wiki/Smooth_(song),/wiki/Rob_Thomas_(musician)
65,2000,Santana,3.0,Maria Maria,/wiki/Maria_Maria,/wiki/Santana_(band)
85,2000,The Product G&B,3.0,Maria Maria,/wiki/Maria_Maria,/wiki/The_Product_G%26B
105,2000,Joe,4.0,I Wanna Know,/wiki/I_Wanna_Know,/wiki/Joe_(singer)
125,2000,Vertical Horizon,5.0,Everything You Want,/wiki/Everything_You_Want_(Vertical_Horizon_song),/wiki/Vertical_Horizon
145,2000,Destiny's Child,6.0,Say My Name,/wiki/Say_My_Name,/wiki/Destiny%27s_Child
165,2000,Savage Garden,7.0,I Knew I Loved You,/wiki/I_Knew_I_Loved_You,/wiki/Savage_Garden
185,2000,Lonestar,8.0,Amazed,/wiki/Amazed,/wiki/Lonestar
205,2000,Matchbox Twenty,9.0,Bent,/wiki/Bent_(song),/wiki/Matchbox_Twenty
225,2000,Toni Braxton,10.0,He Wasn't Man Enough,/wiki/He_Wasn%27t_Man_Enough,/wiki/Toni_Braxton
245,2000,Creed,11.0,Higher,/wiki/Higher_(Creed_song),/wiki/Creed_(band)
265,2000,Aaliyah,12.0,Try Again,/wiki/Try_Again_(Aaliyah_song),/wiki/Aaliyah
285,2000,Destiny's Child,13.0,"Jumpin', Jumpin'","/wiki/Jumpin%27,_Jumpin%27",/wiki/Destiny%27s_Child
305,2000,Sisqó,14.0,Thong Song,/wiki/Thong_Song,/wiki/Sisq%C3%B3
325,2000,3 Doors Down,15.0,Kryptonite,/wiki/Kryptonite_(3_Doors_Down_song),/wiki/3_Doors_Down
345,2000,Pink,16.0,There You Go,/wiki/There_You_Go,/wiki/Pink_(singer)
365,2000,Madonna,17.0,Music,/wiki/Music_(Madonna_song),/wiki/Madonna_(entertainer)
385,2000,Janet Jackson,18.0,Doesn't Really Matter,/wiki/Doesn%27t_Really_Matter,/wiki/Janet_Jackson
405,2000,Christina Aguilera,19.0,What a Girl Wants,/wiki/What_a_Girl_Wants_(Christina_Aguilera_song),/wiki/Christina_Aguilera
425,2000,Brian McKnight,20.0,Back at One,/wiki/Back_at_One_(song),/wiki/Brian_McKnight
445,2000,'N Sync,21.0,Bye Bye Bye,/wiki/Bye_Bye_Bye,/wiki/%27N_Sync
465,2000,Marc Anthony,22.0,You Sang to Me,/wiki/You_Sang_to_Me,/wiki/Marc_Anthony
485,2000,Marc Anthony,23.0,I Need to Know,/wiki/I_Need_to_Know_(Marc_Anthony_song),/wiki/Marc_Anthony
505,2000,Montell Jordan,24.0,Get It On Tonite,/wiki/Get_It_On_Tonite,/wiki/Montell_Jordan
525,2000,Sisqó,25.0,Incomplete,/wiki/Incomplete_(Sisq%C3%B3_song),/wiki/Sisq%C3%B3
545,2000,Macy Gray,26.0,I Try,/wiki/I_Try,/wiki/Macy_Gray
565,2000,'N Sync,27.0,It's Gonna Be Me,/wiki/It%27s_Gonna_Be_Me_(%27N_Sync_song),/wiki/%27N_Sync
585,2000,Celine Dion,28.0,That's The Way It Is,/wiki/That%27s_the_Way_It_Is_(Celine_Dion_song),/wiki/Celine_Dion
605,2000,Nelly,29.0,Country Grammar (Hot Shit),/wiki/Country_Grammar_(Hot_Shit),/wiki/Nelly
625,2000,Blaque,30.0,Bring It All to Me,/wiki/Bring_It_All_to_Me,/wiki/Blaque
645,2000,Backstreet Boys,31.0,Show Me the Meaning of Being Lonely,/wiki/Show_Me_the_Meaning_of_Being_Lonely,/wiki/Backstreet_Boys
665,2000,Missy Elliott,32.0,Hot Boyz,/wiki/Hot_Boyz_(song),/wiki/Missy_Elliott
685,2000,Nas,32.0,Hot Boyz,/wiki/Hot_Boyz_(song),/wiki/Nas
705,2000,Eve,32.0,Hot Boyz,/wiki/Hot_Boyz_(song),/wiki/Eve_(entertainer)
725,2000,Q-Tip,32.0,Hot Boyz,/wiki/Hot_Boyz_(song),/wiki/Q-Tip_(rapper)
745,2000,BBMak,33.0,Back Here,/wiki/Back_Here,/wiki/BBMak
765,2000,Sonique,34.0,It Feels So Good,/wiki/It_Feels_So_Good,/wiki/Sonique_(musician)
785,2000,Nine Days,35.0,Absolutely (Story of a Girl),/wiki/Absolutely_(Story_of_a_Girl),/wiki/Nine_Days
805,2000,Creed,36.0,With Arms Wide Open,/wiki/With_Arms_Wide_Open,/wiki/Creed_(band)
825,2000,Enrique Iglesias,37.0,Be with You,/wiki/Be_with_You_(Enrique_Iglesias_song),/wiki/Enrique_Iglesias
845,2000,Christina Aguilera,38.0,Come On Over Baby (All I Want Is You),/wiki/Come_On_Over_Baby_(All_I_Want_Is_You),/wiki/Christina_Aguilera
865,2000,Ruff Endz,39.0,No More,/wiki/No_More_(Ruff_Endz_song),/wiki/Ruff_Endz
885,2000,Blink 182,40.0,All The Small Things,/wiki/All_The_Small_Things,/wiki/Blink_182
905,2000,Faith Hill,41.0,The Way You Love Me,/wiki/The_Way_You_Love_Me_(Faith_Hill_song),/wiki/Faith_Hill
925,2000,Christina Aguilera,42.0,I Turn To You,/wiki/I_Turn_to_You_(All-4-One_song),/wiki/Christina_Aguilera
945,2000,Third Eye Blind,43.0,Never Let You Go,/wiki/Never_Let_You_Go_(Third_Eye_Blind_song),/wiki/Third_Eye_Blind
965,2000,LeAnn Rimes,44.0,I Need You,/wiki/I_Need_You_(LeAnn_Rimes_song),/wiki/LeAnn_Rimes
985,2000,Mariah Carey,45.0,Thank God I Found You,/wiki/Thank_God_I_Found_You,/wiki/Mariah_Carey
1005,2000,Joe,45.0,Thank God I Found You,/wiki/Thank_God_I_Found_You,/wiki/Joe_(singer)
1025,2000,98 Degrees,45.0,Thank God I Found You,/wiki/Thank_God_I_Found_You,/wiki/98_Degrees
1045,2000,Jagged Edge,46.0,Let's Get Married,/wiki/Let%27s_Get_Married_(song),/wiki/Jagged_Edge_(band)
1065,2000,Whitney Houston,47.0,My Love Is Your Love,/wiki/My_Love_Is_Your_Love_(song),/wiki/Whitney_Houston
1085,2000,Smash Mouth,48.0,Then The Morning Comes,/wiki/Then_The_Morning_Comes,/wiki/Smash_Mouth
1105,2000,Eiffel 65,49.0,Blue (Da Ba Dee),/wiki/Blue_(Da_Ba_Dee),/wiki/Eiffel_65
1125,2000,Sting,50.0,Desert Rose,/wiki/Desert_Rose_(Sting_song),/wiki/Sting_(musician)
1145,2000,Cheb Mami,50.0,Desert Rose,/wiki/Desert_Rose_(Sting_song),/wiki/Cheb_Mami
1165,2000,Eminem,51.0,The Real Slim Shady,/wiki/The_Real_Slim_Shady,/wiki/Eminem
1185,2000,Pink,52.0,Most Girls,/wiki/Most_Girls,/wiki/Pink_(singer)
1205,2000,Next,53.0,Wifey,/wiki/Wifey_(song),/wiki/Next_(band)
1225,2000,Everclear,54.0,Wonderful,/wiki/Wonderful_(Everclear_song),/wiki/Everclear_(band)
1245,2000,Britney Spears,55.0,Oops!... I Did It Again,/wiki/Oops!..._I_Did_It_Again_(song),/wiki/Britney_Spears
1265,2000,Jessica Simpson,56.0,I Wanna Love You Forever,/wiki/I_Wanna_Love_You_Forever,/wiki/Jessica_Simpson
1285,2000,98 Degrees,57.0,Give Me Just One Night (Una Noche),/wiki/Give_Me_Just_One_Night_(Una_Noche),/wiki/98_Degrees
1305,2000,Filter,58.0,Take a Picture,/wiki/Take_a_Picture,/wiki/Filter_(band)
1325,2000,Red Hot Chili Peppers,59.0,Otherside,/wiki/Otherside,/wiki/Red_Hot_Chili_Peppers
1345,2000,Jay-Z,60.0,Big Pimpin',/wiki/Big_Pimpin%27,/wiki/Jay-Z
1365,2000,UGK,60.0,Big Pimpin',/wiki/Big_Pimpin%27,/wiki/UGK
1385,2000,Son by Four,61.0,A Puro Dolor,/wiki/A_Puro_Dolor,/wiki/Son_by_Four
1405,2000,Avant,63.0,Separated,/wiki/Separated_(song),/wiki/Avant
1425,2000,Carl Thomas,64.0,I Wish,/wiki/I_Wish_(Carl_Thomas_song),/wiki/Carl_Thomas_(singer)
1445,2000,Donell Jones,65.0,U Know What's Up,/wiki/U_Know_What%27s_Up,/wiki/Donell_Jones
1465,2000,soulDecision,66.0,Faded,/wiki/Faded_(soulDecision_song),/wiki/SoulDecision
1485,2000,Thrust,66.0,Faded,/wiki/Faded_(soulDecision_song),/wiki/Thrust_(rapper)
1505,2000,Kid Rock,67.0,Only God Knows Why,/wiki/Only_God_Knows_Why,/wiki/Kid_Rock
1525,2000,Mystikal,68.0,Shake Ya Ass,/wiki/Shake_Ya_Ass,/wiki/Mystikal
1545,2000,Erykah Badu,69.0,Bag Lady,/wiki/Bag_Lady,/wiki/Erykah_Badu
1565,2000,Train,70.0,Meet Virginia,/wiki/Meet_Virginia,/wiki/Train_(band)
1585,2000,DMX,71.0,Party Up (Up in Here),/wiki/Party_Up_(Up_in_Here),/wiki/DMX_(rapper)
1605,2000,Mýa,72.0,Case of the Ex,/wiki/Case_of_the_Ex,/wiki/M%C3%BDa
1625,2000,Dr. Dre,73.0,Forgot About Dre,/wiki/Forgot_About_Dre,/wiki/Dr._Dre
1645,2000,Eminem,73.0,Forgot About Dre,/wiki/Forgot_About_Dre,/wiki/Eminem
1665,2000,Jo Dee Messina,74.0,That's the Way,/wiki/That%27s_the_Way_(Jo_Dee_Messina_song),/wiki/Jo_Dee_Messina
1685,2000,Westlife,75.0,Swear It Again,/wiki/Swear_It_Again,/wiki/Westlife
1705,2000,Dr. Dre,76.0,The Next Episode,/wiki/The_Next_Episode,/wiki/Dr._Dre
1725,2000,Snoop Dogg,76.0,The Next Episode,/wiki/The_Next_Episode,/wiki/Snoop_Dogg
1745,2000,Britney Spears,77.0,From the Bottom of My Broken Heart,/wiki/From_the_Bottom_of_My_Broken_Heart,/wiki/Britney_Spears
1765,2000,Savage Garden,78.0,Crash and Burn,/wiki/Crash_and_Burn_(Savage_Garden_song),/wiki/Savage_Garden
1785,2000,Chad Brock,79.0,Yes!,/wiki/Yes!_(song),/wiki/Chad_Brock
1805,2000,George Strait,80.0,The Best Day,/wiki/The_Best_Day,/wiki/George_Strait
1825,2000,Donell Jones,81.0,Where I Wanna Be,/wiki/Where_I_Wanna_Be_(Donell_Jones_song),/wiki/Donell_Jones
1845,2000,Toby Keith,82.0,How Do You Like Me Now?!,/wiki/How_Do_You_Like_Me_Now%3F!_(song),/wiki/Toby_Keith
1865,2000,Tim McGraw,83.0,My Best Friend,/wiki/My_Best_Friend_(song),/wiki/Tim_McGraw
1885,2000,Goo Goo Dolls,84.0,Broadway,/wiki/Broadway_(Goo_Goo_Dolls_song),/wiki/Goo_Goo_Dolls
1905,2000,Da Brat,85.0,What'chu Like,/wiki/What%27chu_Like,/wiki/Da_Brat
1925,2000,Tyrese,85.0,What'chu Like,/wiki/What%27chu_Like,/wiki/Tyrese_Gibson
1945,2000,Kandi,86.0,Don't Think I'm Not,/wiki/Don%27t_Think_I%27m_Not,/wiki/Kandi_Burruss
1965,2000,Lee Ann Womack,87.0,I Hope You Dance,/wiki/I_Hope_You_Dance_(song),/wiki/Lee_Ann_Womack
1985,2000,Alice Deejay,88.0,Better Off Alone,/wiki/Better_Off_Alone_(Alice_DeeJay_song),/wiki/Alice_Deejay
2005,2000,Debelah Morgan,89.0,Dance with Me,/wiki/Dance_with_Me_(Debelah_Morgan_song),/wiki/Debelah_Morgan
2025,2000,Lonestar,90.0,What About Now,/wiki/What_About_Now_(Lonestar_song),/wiki/Lonestar
2045,2000,Sammie,91.0,I Like It,/wiki/I_Like_It_(Sammie_song),/wiki/Sammie
2065,2000,LFO,93.0,Girl on TV,/wiki/Girl_on_TV,/wiki/LFO_(group)
2085,2000,Lil' Bow Wow,94.0,Bounce with Me,/wiki/Bounce_with_Me,/wiki/Bow_Wow_(rapper)
2105,2000,Xscape,94.0,Bounce with Me,/wiki/Bounce_with_Me,/wiki/Xscape_(band)
2124,2000,Dixie Chicks,95.0,Cowboy Take Me Away,/wiki/Cowboy_Take_Me_Away,/wiki/Dixie_Chicks
2143,2000,Aaliyah,96.0,I Don't Wanna,/wiki/I_Don%27t_Wanna,/wiki/Aaliyah
2162,2000,Destiny's Child,97.0,Independent Women,/wiki/Independent_Women,/wiki/Destiny%27s_Child
2181,2000,Samantha Mumba,98.0,Gotta Tell You,/wiki/Gotta_Tell_You_(song),/wiki/Samantha_Mumba
2200,2000,Jennifer Lopez,99.0,Waiting for Tonight,/wiki/Waiting_for_Tonight,/wiki/Jennifer_Lopez
2219,2000,Mary Mary,100.0,Shackles (Praise You),/wiki/Shackles_(Praise_You),/wiki/Mary_Mary
6,2001,Lifehouse,1.0,Hanging by a Moment,/wiki/Hanging_by_a_Moment,/wiki/Lifehouse_(band)
26,2001,Alicia Keys,2.0,Fallin',/wiki/Fallin%27,/wiki/Alicia_Keys
46,2001,Janet,3.0,All for You,/wiki/All_for_You_(Janet_Jackson_song),/wiki/Janet_Jackson
66,2001,Train,4.0,Drops of Jupiter (Tell Me),/wiki/Drops_of_Jupiter_(Tell_Me),/wiki/Train_(band)
86,2001,Jennifer Lopez,5.0,I'm Real,/wiki/I%27m_Real_(Jennifer_Lopez_song),/wiki/Jennifer_Lopez
106,2001,Ja Rule,5.0,I'm Real,/wiki/I%27m_Real_(Jennifer_Lopez_song),/wiki/Ja_Rule
126,2001,Matchbox Twenty,6.0,If You're Gone,/wiki/If_You%27re_Gone,/wiki/Matchbox_Twenty
146,2001,Eve,7.0,Let Me Blow Ya Mind,/wiki/Let_Me_Blow_Ya_Mind,/wiki/Eve_(entertainer)
166,2001,Gwen Stefani,7.0,Let Me Blow Ya Mind,/wiki/Let_Me_Blow_Ya_Mind,/wiki/Gwen_Stefani
186,2001,Dido,8.0,Thank You,/wiki/Thank_You_(Dido_song),/wiki/Dido_(singer)
206,2001,Lenny Kravitz,9.0,Again,/wiki/Again_(Lenny_Kravitz_song),/wiki/Lenny_Kravitz
226,2001,Destiny's Child,10.0,Independent Women,/wiki/Independent_Women,/wiki/Destiny%27s_Child
246,2001,Blu Cantrell,11.0,Hit 'Em Up Style (Oops!),/wiki/Hit_%27Em_Up_Style_(Oops!),/wiki/Blu_Cantrell
266,2001,Shaggy,12.0,It Wasn't Me,/wiki/It_Wasn%27t_Me,/wiki/Shaggy_(musician)
286,2001,Rikrok,12.0,It Wasn't Me,/wiki/It_Wasn%27t_Me,/wiki/Rikrok
306,2001,Joe,13.0,Stutter,/wiki/Stutter_(Joe_song),/wiki/Joe_(singer)
326,2001,Mystikal,13.0,Stutter,/wiki/Stutter_(Joe_song),/wiki/Mystikal
346,2001,Staind,14.0,It's Been Awhile,/wiki/It%27s_Been_Awhile,/wiki/Staind
366,2001,Usher,15.0,U Remind Me,/wiki/U_Remind_Me,/wiki/Usher_(entertainer)
386,2001,Jagged Edge,16.0,Where the Party At,/wiki/Where_the_Party_At,/wiki/Jagged_Edge_(band)
406,2001,Nelly,16.0,Where the Party At,/wiki/Where_the_Party_At,/wiki/Nelly
426,2001,Shaggy,17.0,Angel,/wiki/Angel_(Shaggy_song),/wiki/Shaggy_(musician)
446,2001,Nelly,18.0,Ride wit Me,/wiki/Ride_wit_Me,/wiki/Nelly
466,2001,City Spud,18.0,Ride wit Me,/wiki/Ride_wit_Me,/wiki/City_Spud
486,2001,Uncle Kracker,19.0,Follow Me,/wiki/Follow_Me_(Uncle_Kracker_song),/wiki/Uncle_Kracker
506,2001,112,20.0,Peaches & Cream,/wiki/Peaches_%26_Cream_(112_song),/wiki/112_(band)
526,2001,Incubus,21.0,Drive,/wiki/Drive_(Incubus_song),/wiki/Incubus_(band)
546,2001,City High,22.0,What Would You Do?,/wiki/What_Would_You_Do%3F_(City_High_song),/wiki/City_High
566,2001,Destiny's Child,23.0,Survivor,/wiki/Survivor_(Destiny%27s_Child_song),/wiki/Destiny%27s_Child
586,2001,Christina Aguilera,24.0,Lady Marmalade,/wiki/Lady_Marmalade#Moulin_Rouge.21_cover,/wiki/Christina_Aguilera
606,2001,Lil' Kim,24.0,Lady Marmalade,/wiki/Lady_Marmalade#Moulin_Rouge.21_cover,/wiki/Lil%27_Kim
626,2001,Mýa,24.0,Lady Marmalade,/wiki/Lady_Marmalade#Moulin_Rouge.21_cover,/wiki/M%C3%BDa
646,2001,Pink,24.0,Lady Marmalade,/wiki/Lady_Marmalade#Moulin_Rouge.21_cover,/wiki/Pink_(singer)
666,2001,OutKast,25.0,Ms. Jackson,/wiki/Ms._Jackson,/wiki/OutKast
686,2001,Jennifer Lopez,26.0,Love Don't Cost a Thing,/wiki/Love_Don%27t_Cost_a_Thing_(song),/wiki/Jennifer_Lopez
706,2001,Faith Hill,27.0,The Way You Love Me,/wiki/The_Way_You_Love_Me_(Faith_Hill_song),/wiki/Faith_Hill
726,2001,Dream,28.0,He Loves U Not,/wiki/He_Loves_U_Not,/wiki/Dream_(American_group)
746,2001,Crazy Town,29.0,Butterfly,/wiki/Butterfly_(Crazy_Town_song),/wiki/Crazy_Town
766,2001,Ja Rule,30.0,Put It on Me,/wiki/Put_It_on_Me_(Ja_Rule_song),/wiki/Ja_Rule
786,2001,Lil' Mo,30.0,Put It on Me,/wiki/Put_It_on_Me_(Ja_Rule_song),/wiki/Lil%27_Mo
806,2001,Mary J. Blige,31.0,Family Affair,/wiki/Family_Affair_(Mary_J._Blige_song),/wiki/Mary_J._Blige
826,2001,Lee Ann Womack,32.0,I Hope You Dance,/wiki/I_Hope_You_Dance_(song),/wiki/Lee_Ann_Womack
846,2001,Moby,33.0,South Side,/wiki/South_Side_(song),/wiki/Moby
866,2001,Gwen Stefani,33.0,South Side,/wiki/South_Side_(song),/wiki/Gwen_Stefani
886,2001,Madonna,34.0,Don't Tell Me,/wiki/Don%27t_Tell_Me_(Madonna_song),/wiki/Madonna_(entertainer)
906,2001,Missy Elliott,35.0,Get Ur Freak On,/wiki/Get_Ur_Freak_On,/wiki/Missy_Elliott
926,2001,K-Ci & JoJo,36.0,Crazy,/wiki/Crazy_(K-Ci_and_JoJo_song),/wiki/K-Ci_%26_JoJo
946,2001,Craig David,37.0,Fill Me In,/wiki/Fill_Me_In,/wiki/Craig_David
966,2001,Janet,38.0,Someone to Call My Lover,/wiki/Someone_to_Call_My_Lover,/wiki/Janet_Jackson
986,2001,Creed,39.0,With Arms Wide Open,/wiki/With_Arms_Wide_Open,/wiki/Creed_(band)
1006,2001,Mýa,40.0,Case of the Ex,/wiki/Case_of_the_Ex,/wiki/M%C3%BDa
1026,2001,Destiny's Child,42.0,Bootylicious,/wiki/Bootylicious,/wiki/Destiny%27s_Child
1046,2001,Nelly Furtado,43.0,I'm like a Bird,/wiki/I%27m_like_a_Bird,/wiki/Nelly_Furtado
1066,2001,3 Doors Down,44.0,Kryptonite,/wiki/Kryptonite_(3_Doors_Down_song),/wiki/3_Doors_Down
1086,2001,R. Kelly,45.0,Fiesta,/wiki/Fiesta_(R._Kelly_song),/wiki/R._Kelly
1106,2001,Jay-Z,45.0,Fiesta,/wiki/Fiesta_(R._Kelly_song),/wiki/Jay-Z
1126,2001,Sugar Ray,46.0,When It's Over,/wiki/When_It%27s_Over_(Sugar_Ray_song),/wiki/Sugar_Ray
1146,2001,Aerosmith,47.0,Jaded,/wiki/Jaded_(Aerosmith_song),/wiki/Aerosmith
1166,2001,Jagged Edge,48.0,Promise,/wiki/Promise_(Jagged_Edge_song),/wiki/Jagged_Edge_(band)
1186,2001,Case,49.0,Missing You,/wiki/Missing_You_(Case_song),/wiki/Case_(singer)
1206,2001,Ginuwine,50.0,Differences,/wiki/Differences_(song),/wiki/Ginuwine
1226,2001,'N Sync,51.0,This I Promise You,/wiki/This_I_Promise_You,/wiki/%27N_Sync
1246,2001,Jay-Z,52.0,Izzo (H.O.V.A.),/wiki/Izzo_(H.O.V.A.),/wiki/Jay-Z
1266,2001,Lil' Mo,53.0,Superwoman Pt. II,/wiki/Superwoman_Pt._II,/wiki/Lil%27_Mo
1286,2001,Fabolous,53.0,Superwoman Pt. II,/wiki/Superwoman_Pt._II,/wiki/Fabolous
1306,2001,Evan and Jaron,54.0,Crazy for This Girl,/wiki/Crazy_for_This_Girl,/wiki/Evan_and_Jaron
1326,2001,Ricky Martin,55.0,Nobody Wants to Be Lonely,/wiki/Nobody_Wants_to_Be_Lonely,/wiki/Ricky_Martin
1346,2001,Christina Aguilera,55.0,Nobody Wants to Be Lonely,/wiki/Nobody_Wants_to_Be_Lonely,/wiki/Christina_Aguilera
1366,2001,Jay-Z,56.0,I Just Wanna Love U (Give It 2 Me),/wiki/I_Just_Wanna_Love_U_(Give_It_2_Me),/wiki/Jay-Z
1386,2001,Missy Elliott,57.0,One Minute Man,/wiki/One_Minute_Man,/wiki/Missy_Elliott
1406,2001,Ludacris,57.0,One Minute Man,/wiki/One_Minute_Man,/wiki/Ludacris
1426,2001,Mystikal,58.0,Danger (Been So Long),/wiki/Danger_(Been_So_Long),/wiki/Mystikal
1446,2001,Nivea,58.0,Danger (Been So Long),/wiki/Danger_(Been_So_Long),/wiki/Nivea_(singer)
1466,2001,Enya,59.0,Only Time,/wiki/Only_Time,/wiki/Enya
1486,2001,Toya,60.0,I Do!!,/wiki/I_Do!!,/wiki/Toya_(singer)
1506,2001,S Club 7,61.0,Never Had a Dream Come True,/wiki/Never_Had_a_Dream_Come_True,/wiki/S_Club_7
1526,2001,Tamia,62.0,Stranger in My House,/wiki/Stranger_in_My_House_(Tamia_song),/wiki/Tamia
1546,2001,Jessica Simpson,63.0,Irresistible,/wiki/Irresistible_(Jessica_Simpson_song),/wiki/Jessica_Simpson
1566,2001,Dave Matthews Band,65.0,The Space Between,/wiki/The_Space_Between,/wiki/Dave_Matthews_Band
1586,2001,Faith Hill,66.0,There You'll Be,/wiki/There_You%27ll_Be,/wiki/Faith_Hill
1606,2001,Musiq Soulchild,67.0,Love,/wiki/Love_(Musiq_Soulchild_song),/wiki/Musiq_Soulchild
1626,2001,112,68.0,It's Over Now,/wiki/It%27s_Over_Now_(112_song),/wiki/112_(band)
1646,2001,3LW,69.0,No More (Baby I'ma Do Right),/wiki/No_More_(Baby_I%27ma_Do_Right),/wiki/3LW
1666,2001,Nelly Furtado,70.0,Turn Off the Light,/wiki/Turn_Off_the_Light,/wiki/Nelly_Furtado
1686,2001,Brooks & Dunn,71.0,Ain't Nothing 'bout You,/wiki/Ain%27t_Nothing_%27bout_You,/wiki/Brooks_%26_Dunn
1706,2001,Jennifer Lopez,72.0,Play,/wiki/Play_(Jennifer_Lopez_song),/wiki/Jennifer_Lopez
1726,2001,Lonestar,73.0,I'm Already There,/wiki/I%27m_Already_There_(song),/wiki/Lonestar
1746,2001,Lil' Romeo,74.0,My Baby,/wiki/My_Baby_(Lil%27_Romeo_song),/wiki/Romeo_Miller
1766,2001,U2,75.0,Beautiful Day,/wiki/Beautiful_Day,/wiki/U2
1786,2001,Blake Shelton,76.0,Austin,/wiki/Austin_(song),/wiki/Blake_Shelton
1806,2001,Ludacris,77.0,Southern Hospitality,/wiki/Southern_Hospitality_(song),/wiki/Ludacris
1826,2001,Tim McGraw,78.0,Grown Men Don't Cry,/wiki/Grown_Men_Don%27t_Cry,/wiki/Tim_McGraw
1846,2001,Ja Rule,79.0,Livin' It Up,/wiki/Livin%27_It_Up_(Ja_Rule_song),/wiki/Ja_Rule
1866,2001,Case,79.0,Livin' It Up,/wiki/Livin%27_It_Up_(Ja_Rule_song),/wiki/Case_(singer)
1886,2001,Mariah Carey,80.0,Loverboy,/wiki/Loverboy_(Mariah_Carey_song),/wiki/Mariah_Carey
1906,2001,Cameo,80.0,Loverboy,/wiki/Loverboy_(Mariah_Carey_song),/wiki/Cameo_(band)
1926,2001,The Isley Brothers,81.0,Contagious,/wiki/Contagious_(song),/wiki/The_Isley_Brothers
1946,2001,R. Kelly,81.0,Contagious,/wiki/Contagious_(song),/wiki/R._Kelly
1966,2001,Chanté Moore,81.0,Contagious,/wiki/Contagious_(song),/wiki/Chant%C3%A9_Moore
1986,2001,Jessica Andrews,82.0,Who I Am,/wiki/Who_I_Am_(Jessica_Andrews_song),/wiki/Jessica_Andrews
2006,2001,Erick Sermon,83.0,Music,/wiki/Music_(Erick_Sermon_and_Marvin_Gaye_song),/wiki/Erick_Sermon
2026,2001,Marvin Gaye,83.0,Music,/wiki/Music_(Erick_Sermon_and_Marvin_Gaye_song),/wiki/Marvin_Gaye
2046,2001,Willa Ford,84.0,I Wanna Be Bad,/wiki/I_Wanna_Be_Bad,/wiki/Willa_Ford
2066,2001,Kenny Chesney,85.0,Don't Happen Twice,/wiki/Don%27t_Happen_Twice,/wiki/Kenny_Chesney
2086,2001,Diamond Rio,86.0,One More Day,/wiki/One_More_Day_(Diamond_Rio_song),/wiki/Diamond_Rio
2106,2001,R. Kelly,87.0,I Wish,/wiki/I_Wish_(R._Kelly_song),/wiki/R._Kelly
2125,2001,Travis Tritt,88.0,It's a Great Day to Be Alive,/wiki/It%27s_a_Great_Day_to_Be_Alive,/wiki/Travis_Tritt
2144,2001,Eve 6,90.0,Here's to the Night,/wiki/Here%27s_to_the_Night,/wiki/Eve_6
2163,2001,Toby Keith,91.0,You Shouldn't Kiss Me Like This,/wiki/You_Shouldn%27t_Kiss_Me_Like_This,/wiki/Toby_Keith
2182,2001,Eden's Crush,92.0,Get Over Yourself,/wiki/Get_Over_Yourself_(song),/wiki/Eden%27s_Crush
2201,2001,Debelah Morgan,93.0,Dance with Me,/wiki/Dance_with_Me_(Debelah_Morgan_song),/wiki/Debelah_Morgan
2220,2001,Outkast,94.0,So Fresh So Clean,/wiki/So_Fresh_So_Clean,/wiki/Outkast
2238,2001,Nelly,95.0,E.I.,/wiki/E.I._(song),/wiki/Nelly
2256,2001,3 Doors Down,96.0,Be Like That,/wiki/Be_Like_That,/wiki/3_Doors_Down
2274,2001,Pink,97.0,Most Girls,/wiki/Most_Girls,/wiki/Pink_(singer)
2291,2001,Nas,98.0,Oochie Wally,/wiki/Oochie_Wally,/wiki/Nas
2308,2001,Bravehearts,98.0,Oochie Wally,/wiki/Oochie_Wally,/wiki/Bravehearts
2325,2001,Enrique Iglesias,99.0,Hero,/wiki/Hero_(Enrique_Iglesias_song),/wiki/Enrique_Iglesias
2342,2001,Fuel,100.0,Hemorrhage (In My Hands),/wiki/Hemorrhage_(In_My_Hands),/wiki/Fuel_(band)
7,2002,Nickelback,1.0,How You Remind Me,/wiki/How_You_Remind_Me,/wiki/Nickelback
27,2002,Ashanti,2.0,Foolish,/wiki/Foolish_(Ashanti_song),/wiki/Ashanti_(entertainer)
47,2002,Nelly,3.0,Hot in Herre,/wiki/Hot_in_Herre,/wiki/Nelly
67,2002,Nelly,4.0,Dilemma,/wiki/Dilemma_(song),/wiki/Nelly
87,2002,Kelly Rowland,4.0,Dilemma,/wiki/Dilemma_(song),/wiki/Kelly_Rowland
107,2002,The Calling,5.0,Wherever You Will Go,/wiki/Wherever_You_Will_Go,/wiki/The_Calling
127,2002,Vanessa Carlton,6.0,A Thousand Miles,/wiki/A_Thousand_Miles,/wiki/Vanessa_Carlton
