,year,band_singer,ranking,song,songurl,url
182,1997,Mase,5.0,Can't Nobody Hold Me Down,/wiki/Can%27t_Nobody_Hold_Me_Down,/wiki/Mase
202,1997,R. Kelly,6.0,I Believe I Can Fly,/wiki/I_Believe_I_Can_Fly,/wiki/R._Kelly
222,1997,En Vogue,7.0,Don't Let Go (Love),/wiki/Don%27t_Let_Go_(Love),/wiki/En_Vogue
242,1997,Mark Morrison,8.0,Return of the Mack,/wiki/Return_of_the_Mack,/wiki/Mark_Morrison
262,1997,LeAnn Rimes,9.0,How Do I Live,/wiki/How_Do_I_Live,/wiki/LeAnn_Rimes
282,1997,Spice Girls,10.0,Wannabe,/wiki/Wannabe_(song),/wiki/Spice_Girls
302,1997,Backstreet Boys,11.0,Quit Playing Games (With My Heart),/wiki/Quit_Playing_Games_(With_My_Heart),/wiki/Backstreet_Boys
322,1997,Hanson,12.0,MMMBop,/wiki/MMMBop,/wiki/Hanson_(band)
342,1997,Monica,13.0,For You I Will,/wiki/For_You_I_Will_(Monica_song),/wiki/Monica_(singer)
362,1997,Usher,14.0,You Make Me Wanna...,/wiki/You_Make_Me_Wanna,/wiki/Usher_(entertainer)
382,1997,Meredith Brooks,15.0,Bitch,/wiki/Bitch_(Meredith_Brooks_song),/wiki/Meredith_Brooks
402,1997,Keith Sweat,16.0,Nobody,/wiki/Nobody_(Keith_Sweat_song),/wiki/Keith_Sweat
422,1997,Third Eye Blind,17.0,Semi-Charmed Life,/wiki/Semi-Charmed_Life,/wiki/Third_Eye_Blind
442,1997,Duncan Sheik,18.0,Barely Breathing,/wiki/Barely_Breathing,/wiki/Duncan_Sheik
462,1997,Az Yet,19.0,Hard to Say I'm Sorry,/wiki/Hard_to_Say_I%27m_Sorry,/wiki/Az_Yet
482,1997,Peter Cetera,19.0,Hard to Say I'm Sorry,/wiki/Hard_to_Say_I%27m_Sorry,/wiki/Peter_Cetera
502,1997,The Notorious B.I.G.,20.0,Mo Money Mo Problems,/wiki/Mo_Money_Mo_Problems,/wiki/The_Notorious_B.I.G.
522,1997,Puff Daddy,20.0,Mo Money Mo Problems,/wiki/Mo_Money_Mo_Problems,/wiki/Sean_Combs
542,1997,Mase,20.0,Mo Money Mo Problems,/wiki/Mo_Money_Mo_Problems,/wiki/Mase
562,1997,The Verve Pipe,21.0,The Freshmen,/wiki/The_Freshmen_(song),/wiki/The_Verve_Pipe
582,1997,Savage Garden,22.0,I Want You,/wiki/I_Want_You_(Savage_Garden_song),/wiki/Savage_Garden
602,1997,Blackstreet,23.0,No Diggity,/wiki/No_Diggity,/wiki/Blackstreet
622,1997,Dr. Dre,23.0,No Diggity,/wiki/No_Diggity,/wiki/Dr._Dre
642,1997,The Notorious B.I.G.,25.0,Hypnotize,/wiki/Hypnotize_(The_Notorious_B.I.G._song),/wiki/The_Notorious_B.I.G.
662,1997,Babyface,26.0,Every Time I Close My Eyes,/wiki/Every_Time_I_Close_My_Eyes,/wiki/Babyface_(musician)
682,1997,Dru Hill,27.0,In My Bed,/wiki/In_My_Bed,/wiki/Dru_Hill
702,1997,Spice Girls,28.0,Say You'll Be There,/wiki/Say_You%27ll_Be_There,/wiki/Spice_Girls
722,1997,Robyn,29.0,Do You Know (What It Takes),/wiki/Do_You_Know_(What_It_Takes),/wiki/Robyn
742,1997,Boyz II Men,30.0,4 Seasons of Loneliness,/wiki/4_Seasons_of_Loneliness,/wiki/Boyz_II_Men
762,1997,Changing Faces,31.0,G.H.E.T.T.O.U.T.,/wiki/G.H.E.T.T.O.U.T.,/wiki/Changing_Faces_(group)
782,1997,Mariah Carey,32.0,Honey,/wiki/Honey_(Mariah_Carey_song),/wiki/Mariah_Carey
802,1997,Whitney Houston,33.0,I Believe in You and Me,/wiki/I_Believe_in_You_and_Me,/wiki/Whitney_Houston
